Transaction ID,Customer ID,Customer Name,Gender,Age,Location,Product ID,Product Name,Category,Supplier,Quantity Sold,Sale Price,Date,Age Groups,Total Sales
23,404,Customer_192,Male,66,Phoenix,95,Toys_95,Toys,BookWorm,4,183.2,2024-12-21,Seniors (60-69),732.8
24,131,Customer_418,Female,27,New York,55,Home Appliances_55,Electronics,TechWorld,1,57.05,2024-03-14,Young Adults (20-29),57.05
25,296,Customer_315,Female,34,Los Angeles,55,Home Appliances_55,Electronics,TechWorld,4,181.42,2024-07-25,Adults (30-39),725.68
26,148,Customer_302,Female,61,Phoenix,54,Toys_54,Books,TechWorld,4,68.86,2024-05-10,Seniors (60-69),275.44
27,52,Customer_23,Female,20,Houston,42,Home Appliances_42,Toys,ToyLand,3,30.76,2024-04-28,Young Adults (20-29),92.28
28,447,Customer_448,Male,65,Chicago,79,Home Appliances_79,Home Appliances,BookWorm,5,572.32,2024-02-26,Seniors (60-69),2861.6000000000004
29,376,Customer_228,Female,61,Phoenix,69,Toys_69,Electronics,BookWorm,3,553.51,2024-07-06,Seniors (60-69),1660.53
30,478,Customer_362,Female,65,Chicago,31,Home Appliances_31,Clothing,FashionHub,5,143.41,2024-05-27,Seniors (60-69),717.05
31,78,Customer_310,Female,26,New York,41,Books_41,Electronics,TechWorld,3,570.26,2024-04-20,Young Adults (20-29),1710.78
32,49,Customer_31,Male,41,New York,92,Books_92,Clothing,HomeEssentials,2,288.29,2024-06-22,Middle-Aged (40-49),576.58
33,263,Customer_382,Female,44,Phoenix,91,Toys_91,Clothing,BookWorm,3,599.09,2024-02-25,Middle-Aged (40-49),1797.27
34,356,Customer_391,Male,18,Chicago,21,Home Appliances_21,Electronics,TechWorld,3,108.53,2024-01-09,Teens (<20),325.59000000000003
35,468,Customer_117,Female,18,Houston,96,Home Appliances_96,Home Appliances,BookWorm,1,123.19,2024-11-09,Teens (<20),123.19
36,378,Customer_478,Female,32,Los Angeles,10,Books_10,Books,FashionHub,5,903.33,2024-07-17,Adults (30-39),4516.650000000001
37,372,Customer_385,Male,57,Chicago,21,Home Appliances_21,Electronics,TechWorld,2,147.59,2024-08-23,Pre-Seniors (50-59),295.18
38,222,Customer_299,Male,48,Houston,33,Electronics_33,Home Appliances,HomeEssentials,2,378.3,2024-06-27,Middle-Aged (40-49),756.6
39,489,Customer_230,Male,35,Phoenix,58,Clothing_58,Electronics,TechWorld,5,277.34,2024-01-22,Adults (30-39),1386.6999999999998
40,372,Customer_385,Male,57,Chicago,43,Clothing_43,Home Appliances,HomeEssentials,5,415.85,2024-05-04,Pre-Seniors (50-59),2079.25
41,232,Customer_427,Female,42,Phoenix,36,Toys_36,Clothing,HomeEssentials,4,741.44,2024-06-01,Middle-Aged (40-49),2965.76
42,196,Customer_38,Female,45,New York,31,Home Appliances_31,Clothing,FashionHub,3,567.27,2024-02-20,Middle-Aged (40-49),1701.81
43,106,Customer_458,Female,50,Houston,72,Home Appliances_72,Electronics,ToyLand,4,760.77,2024-04-15,Pre-Seniors (50-59),3043.08
44,416,Customer_292,Male,59,New York,89,Toys_89,Clothing,FashionHub,4,593.51,2024-09-20,Seniors (60-69),2374.04
45,391,Customer_255,Female,58,Phoenix,64,Home Appliances_64,Clothing,HomeEssentials,1,19.44,2024-03-28,Pre-Seniors (50-59),19.44
46,193,Customer_183,Male,58,Chicago,61,Clothing_61,Electronics,ToyLand,1,111.9,2024-03-20,Pre-Seniors (50-59),111.9
47,328,Customer_190,Female,40,Chicago,33,Electronics_33,Home Appliances,HomeEssentials,5,771.5,2024-08-31,Middle-Aged (40-49),3857.5
48,380,Customer_86,Female,50,Los Angeles,40,Home Appliances_40,Clothing,ToyLand,2,41.61,2024-03-08,Pre-Seniors (50-59),83.22
49,219,Customer_45,Female,52,Phoenix,28,Electronics_28,Home Appliances,BookWorm,5,566.25,2024-05-07,Pre-Seniors (50-59),2831.25
50,306,Customer_381,Female,45,New York,4,Toys_4,Clothing,HomeEssentials,1,108.6,2024-12-23,Middle-Aged (40-49),108.6
51,273,Customer_242,Male,66,New York,23,Home Appliances_23,Home Appliances,BookWorm,1,43.78,2024-02-05,Seniors (60-69),43.78
52,253,Customer_490,Female,38,Phoenix,8,Toys_8,Books,HomeEssentials,2,148.33,2024-05-07,Adults (30-39),296.66
53,190,Customer_1,Male,44,Phoenix,19,Home Appliances_19,Electronics,HomeEssentials,5,140.79,2024-12-25,Middle-Aged (40-49),703.9499999999999
54,15,Customer_391,Male,48,Houston,49,Books_49,Clothing,BookWorm,1,176.22,2024-08-15,Middle-Aged (40-49),176.22
55,425,Customer_272,Female,20,Phoenix,12,Electronics_12,Books,HomeEssentials,2,46.45,2024-09-19,Young Adults (20-29),92.9
56,312,Customer_391,Female,50,Chicago,59,Toys_59,Toys,BookWorm,5,393.42,2024-08-19,Pre-Seniors (50-59),1967.1000000000001
57,370,Customer_57,Female,18,New York,72,Home Appliances_72,Electronics,ToyLand,4,447.12,2024-05-20,Teens (<20),1788.48
58,230,Customer_176,Male,22,Phoenix,86,Toys_86,Clothing,TechWorld,1,198.24,2024-11-01,Young Adults (20-29),198.24
59,34,Customer_231,Female,22,Houston,42,Home Appliances_42,Toys,ToyLand,4,634.04,2024-10-13,Young Adults (20-29),2536.16
60,16,Customer_234,Female,34,Chicago,36,Toys_36,Clothing,HomeEssentials,5,77.91,2024-05-23,Adults (30-39),389.54999999999995
61,247,Customer_360,Female,37,Los Angeles,71,Electronics_71,Books,BookWorm,4,58.86,2024-06-15,Adults (30-39),235.44
62,315,Customer_473,Male,32,Phoenix,89,Toys_89,Clothing,FashionHub,1,31.22,2024-06-10,Adults (30-39),31.22
63,497,Customer_325,Male,53,Phoenix,35,Books_35,Toys,BookWorm,1,92.76,2024-05-06,Pre-Seniors (50-59),92.76
64,483,Customer_263,Female,70,Chicago,33,Electronics_33,Home Appliances,HomeEssentials,3,462.67,2024-05-22,Elders (70+),1388.01
65,256,Customer_259,Male,53,Houston,3,Electronics_3,Books,BookWorm,1,66.28,2024-12-15,Pre-Seniors (50-59),66.28
66,375,Customer_114,Female,20,Chicago,23,Home Appliances_23,Home Appliances,BookWorm,1,193.63,2024-02-15,Young Adults (20-29),193.63
67,180,Customer_60,Male,62,New York,23,Home Appliances_23,Home Appliances,BookWorm,2,368.97,2024-09-22,Seniors (60-69),737.94
68,5,Customer_25,Female,44,Phoenix,99,Clothing_99,Toys,HomeEssentials,5,391.37,2024-11-25,Middle-Aged (40-49),1956.85
69,90,Customer_278,Male,63,New York,95,Toys_95,Toys,BookWorm,1,165.56,2024-01-14,Seniors (60-69),165.56
70,369,Customer_359,Female,63,Chicago,61,Clothing_61,Electronics,ToyLand,2,350.95,2024-02-20,Seniors (60-69),701.9
71,164,Customer_187,Female,60,Houston,53,Home Appliances_53,Toys,TechWorld,5,461.85,2024-05-21,Seniors (60-69),2309.25
72,279,Customer_57,Male,23,Los Angeles,33,Electronics_33,Home Appliances,HomeEssentials,2,223.35,2024-03-29,Young Adults (20-29),446.7
73,113,Customer_264,Male,64,Los Angeles,4,Toys_4,Clothing,HomeEssentials,4,592.35,2024-12-08,Seniors (60-69),2369.4
74,223,Customer_146,Female,25,Houston,85,Clothing_85,Electronics,BookWorm,2,331.76,2024-02-07,Young Adults (20-29),663.52
75,24,Customer_331,Female,34,Chicago,49,Books_49,Clothing,BookWorm,1,19.2,2024-08-04,Adults (30-39),19.2
76,73,Customer_359,Male,60,Los Angeles,24,Clothing_24,Home Appliances,ToyLand,3,516.23,2024-06-07,Seniors (60-69),1548.69
77,308,Customer_273,Female,20,New York,27,Books_27,Electronics,ToyLand,1,65.25,2024-11-09,Young Adults (20-29),65.25
78,388,Customer_226,Male,21,Houston,38,Toys_38,Home Appliances,TechWorld,5,931.18,2024-01-13,Young Adults (20-29),4655.9
79,332,Customer_104,Female,50,New York,11,Electronics_11,Electronics,BookWorm,3,239.64,2024-08-06,Pre-Seniors (50-59),718.92
80,245,Customer_338,Male,52,Houston,17,Toys_17,Books,TechWorld,4,303.34,2024-08-19,Pre-Seniors (50-59),1213.36
81,84,Customer_352,Male,69,Chicago,64,Home Appliances_64,Clothing,HomeEssentials,4,333.5,2024-03-04,Elders (70+),1334.0
82,316,Customer_368,Male,63,New York,28,Electronics_28,Home Appliances,BookWorm,1,41.69,2024-05-14,Seniors (60-69),41.69
83,430,Customer_333,Female,70,Los Angeles,56,Clothing_56,Toys,TechWorld,5,239.6,2024-05-06,Elders (70+),1198.0
84,323,Customer_106,Female,24,Chicago,18,Books_18,Clothing,TechWorld,5,939.83,2024-11-16,Young Adults (20-29),4699.150000000001
85,68,Customer_204,Male,60,New York,85,Clothing_85,Electronics,BookWorm,5,461.56,2024-01-17,Seniors (60-69),2307.8
86,314,Customer_242,Female,51,New York,75,Books_75,Clothing,TechWorld,1,170.66,2024-08-23,Pre-Seniors (50-59),170.66
87,443,Customer_471,Male,48,New York,76,Home Appliances_76,Toys,BookWorm,5,446.48,2024-08-13,Middle-Aged (40-49),2232.4
88,8,Customer_430,Male,36,Phoenix,74,Clothing_74,Electronics,BookWorm,4,541.03,2024-06-22,Adults (30-39),2164.12
89,408,Customer_91,Female,41,New York,57,Clothing_57,Clothing,FashionHub,4,126.07,2024-10-09,Middle-Aged (40-49),504.28
90,171,Customer_233,Male,60,Chicago,7,Books_7,Home Appliances,FashionHub,3,391.48,2024-08-22,Seniors (60-69),1174.44
91,433,Customer_378,Male,26,New York,61,Clothing_61,Electronics,ToyLand,5,436.32,2024-09-01,Young Adults (20-29),2181.6
92,194,Customer_145,Male,50,Houston,21,Home Appliances_21,Electronics,TechWorld,3,428.84,2024-07-11,Pre-Seniors (50-59),1286.52
93,445,Customer_441,Female,25,Chicago,11,Electronics_11,Electronics,BookWorm,4,149.03,2024-07-05,Young Adults (20-29),596.12
94,186,Customer_470,Male,60,Houston,55,Home Appliances_55,Electronics,TechWorld,4,181.56,2024-11-29,Seniors (60-69),726.24
95,279,Customer_57,Male,23,Los Angeles,47,Toys_47,Clothing,HomeEssentials,3,87.01,2024-05-04,Young Adults (20-29),261.03000000000003
96,153,Customer_159,Male,37,Houston,82,Electronics_82,Clothing,HomeEssentials,3,162.89,2024-11-28,Adults (30-39),488.66999999999996
97,457,Customer_330,Male,56,Houston,37,Toys_37,Toys,TechWorld,1,44.97,2024-12-01,Pre-Seniors (50-59),44.97
98,32,Customer_303,Female,37,Los Angeles,25,Electronics_25,Home Appliances,HomeEssentials,3,512.34,2024-10-29,Adults (30-39),1537.02
99,18,Customer_24,Male,59,Chicago,11,Electronics_11,Electronics,BookWorm,5,715.72,2024-04-27,Seniors (60-69),3578.6000000000004
100,142,Customer_106,Male,54,Houston,28,Electronics_28,Home Appliances,BookWorm,1,146.67,2024-09-16,Pre-Seniors (50-59),146.67
101,39,Customer_82,Male,23,Phoenix,23,Home Appliances_23,Home Appliances,BookWorm,1,61.69,2024-07-23,Young Adults (20-29),61.69
102,491,Customer_248,Male,70,Houston,58,Clothing_58,Electronics,TechWorld,5,54.47,2024-07-17,Elders (70+),272.35
103,309,Customer_215,Female,33,New York,10,Books_10,Books,FashionHub,5,185.36,2024-07-01,Adults (30-39),926.8000000000001
104,17,Customer_404,Female,64,Los Angeles,24,Clothing_24,Home Appliances,ToyLand,2,252.25,2024-01-03,Seniors (60-69),504.5
105,16,Customer_234,Female,34,Chicago,56,Clothing_56,Toys,TechWorld,5,316.71,2024-10-16,Adults (30-39),1583.55
106,381,Customer_155,Male,19,Phoenix,61,Clothing_61,Electronics,ToyLand,3,222.6,2024-07-31,Young Adults (20-29),667.8
107,241,Customer_11,Male,51,New York,80,Toys_80,Clothing,TechWorld,4,592.09,2024-02-03,Pre-Seniors (50-59),2368.36
108,378,Customer_478,Female,32,Los Angeles,3,Electronics_3,Books,BookWorm,5,984.88,2024-02-21,Adults (30-39),4924.4
109,124,Customer_385,Male,65,Los Angeles,16,Home Appliances_16,Clothing,HomeEssentials,5,233.9,2024-12-26,Seniors (60-69),1169.5
110,36,Customer_87,Male,49,New York,83,Books_83,Books,ToyLand,1,94.99,2024-05-22,Pre-Seniors (50-59),94.99
111,269,Customer_136,Female,42,Chicago,66,Electronics_66,Toys,ToyLand,5,727.02,2024-12-01,Middle-Aged (40-49),3635.1
112,206,Customer_325,Female,60,New York,52,Toys_52,Books,TechWorld,3,486.22,2024-03-20,Seniors (60-69),1458.66
113,418,Customer_495,Male,31,Houston,24,Clothing_24,Home Appliances,ToyLand,5,117.15,2024-03-29,Adults (30-39),585.75
114,7,Customer_161,Female,32,Los Angeles,33,Electronics_33,Home Appliances,HomeEssentials,5,443.44,2024-01-03,Adults (30-39),2217.2
115,85,Customer_297,Male,36,Chicago,71,Electronics_71,Books,BookWorm,3,364.38,2024-08-25,Adults (30-39),1093.1399999999999
116,64,Customer_28,Female,63,New York,51,Clothing_51,Home Appliances,BookWorm,2,41.79,2024-02-02,Seniors (60-69),83.58
117,54,Customer_249,Male,68,Phoenix,78,Books_78,Electronics,HomeEssentials,1,19.0,2024-11-18,Seniors (60-69),19.0
118,195,Customer_70,Female,68,Houston,38,Toys_38,Home Appliances,TechWorld,5,780.5,2024-09-09,Seniors (60-69),3902.5
119,415,Customer_47,Female,26,New York,44,Home Appliances_44,Clothing,BookWorm,1,93.53,2024-03-18,Young Adults (20-29),93.53
120,200,Customer_242,Male,30,New York,3,Electronics_3,Books,BookWorm,3,463.87,2024-02-11,Adults (30-39),1391.6100000000001
121,132,Customer_438,Male,68,Phoenix,31,Home Appliances_31,Clothing,FashionHub,5,80.08,2024-05-23,Seniors (60-69),400.4
122,132,Customer_438,Male,68,Phoenix,16,Home Appliances_16,Clothing,HomeEssentials,2,179.68,2024-07-26,Seniors (60-69),359.36
123,40,Customer_89,Male,42,Chicago,54,Toys_54,Books,TechWorld,4,260.61,2024-08-02,Middle-Aged (40-49),1042.44
124,30,Customer_249,Male,63,Houston,58,Clothing_58,Electronics,TechWorld,5,770.29,2024-11-04,Seniors (60-69),3851.45
125,42,Customer_367,Female,21,Los Angeles,24,Clothing_24,Home Appliances,ToyLand,3,313.03,2024-09-20,Young Adults (20-29),939.0899999999999
126,307,Customer_246,Male,62,Phoenix,74,Clothing_74,Electronics,BookWorm,5,233.45,2024-06-14,Seniors (60-69),1167.25
127,317,Customer_116,Male,34,Chicago,13,Electronics_13,Books,FashionHub,2,372.73,2024-04-23,Adults (30-39),745.46
128,336,Customer_265,Female,66,New York,45,Books_45,Clothing,HomeEssentials,5,123.05,2024-05-06,Seniors (60-69),615.25
129,281,Customer_239,Male,21,Los Angeles,29,Electronics_29,Toys,HomeEssentials,3,388.1,2024-12-16,Young Adults (20-29),1164.3000000000002
130,119,Customer_178,Male,24,New York,40,Home Appliances_40,Clothing,ToyLand,2,204.05,2024-06-13,Young Adults (20-29),408.1
131,370,Customer_57,Female,18,New York,48,Home Appliances_48,Toys,HomeEssentials,5,516.1,2024-01-29,Teens (<20),2580.5
132,167,Customer_114,Male,47,New York,92,Books_92,Clothing,HomeEssentials,5,398.68,2024-07-22,Middle-Aged (40-49),1993.4
133,483,Customer_263,Female,70,Chicago,44,Home Appliances_44,Clothing,BookWorm,2,57.64,2024-08-22,Elders (70+),115.28
134,457,Customer_330,Male,56,Houston,47,Toys_47,Clothing,HomeEssentials,1,79.3,2024-04-30,Pre-Seniors (50-59),79.3
135,159,Customer_309,Male,30,Los Angeles,19,Home Appliances_19,Electronics,HomeEssentials,5,329.98,2024-02-08,Adults (30-39),1649.9
136,321,Customer_389,Female,22,New York,78,Books_78,Electronics,HomeEssentials,2,290.67,2024-03-20,Young Adults (20-29),581.34
137,376,Customer_228,Female,61,Phoenix,32,Toys_32,Clothing,HomeEssentials,5,87.56,2024-02-19,Seniors (60-69),437.8
138,68,Customer_204,Male,60,New York,65,Clothing_65,Books,ToyLand,4,383.84,2024-09-21,Seniors (60-69),1535.36
139,374,Customer_161,Female,55,Houston,16,Home Appliances_16,Clothing,HomeEssentials,2,256.54,2024-01-09,Pre-Seniors (50-59),513.08
140,238,Customer_217,Male,53,Phoenix,95,Toys_95,Toys,BookWorm,1,71.34,2024-03-20,Pre-Seniors (50-59),71.34
141,385,Customer_142,Female,50,Los Angeles,23,Home Appliances_23,Home Appliances,BookWorm,5,829.21,2024-01-24,Pre-Seniors (50-59),4146.05
142,194,Customer_145,Male,50,Houston,25,Electronics_25,Home Appliances,HomeEssentials,5,306.45,2024-10-28,Pre-Seniors (50-59),1532.25
143,343,Customer_259,Female,43,Houston,56,Clothing_56,Toys,TechWorld,3,479.79,2024-08-02,Middle-Aged (40-49),1439.3700000000001
144,380,Customer_86,Female,50,Los Angeles,84,Books_84,Electronics,BookWorm,5,243.91,2024-06-08,Pre-Seniors (50-59),1219.55
145,375,Customer_114,Female,20,Chicago,35,Books_35,Toys,BookWorm,1,186.11,2024-04-03,Young Adults (20-29),186.11
146,185,Customer_398,Female,65,Chicago,31,Home Appliances_31,Clothing,FashionHub,4,263.17,2024-12-15,Seniors (60-69),1052.68
147,98,Customer_338,Female,23,Phoenix,56,Clothing_56,Toys,TechWorld,5,258.84,2024-07-31,Young Adults (20-29),1294.1999999999998
148,187,Customer_290,Female,20,Phoenix,25,Electronics_25,Home Appliances,HomeEssentials,4,172.4,2024-02-06,Young Adults (20-29),689.6
149,478,Customer_362,Female,65,Chicago,27,Books_27,Electronics,ToyLand,5,716.1,2024-12-04,Seniors (60-69),3580.5
150,493,Customer_179,Female,55,Chicago,89,Toys_89,Clothing,FashionHub,5,414.34,2024-11-14,Pre-Seniors (50-59),2071.7
151,73,Customer_359,Male,60,Los Angeles,89,Toys_89,Clothing,FashionHub,5,392.32,2024-06-28,Seniors (60-69),1961.6
152,286,Customer_51,Male,29,Houston,42,Home Appliances_42,Toys,ToyLand,5,84.89,2024-05-04,Adults (30-39),424.45
153,178,Customer_303,Female,18,Houston,12,Electronics_12,Books,HomeEssentials,4,198.39,2024-01-11,Teens (<20),793.56
154,11,Customer_46,Female,37,Los Angeles,29,Electronics_29,Toys,HomeEssentials,2,123.17,2024-07-28,Adults (30-39),246.34
155,110,Customer_398,Male,35,Houston,5,Books_5,Home Appliances,BookWorm,3,249.89,2024-08-18,Adults (30-39),749.67
156,96,Customer_188,Female,23,New York,38,Toys_38,Home Appliances,TechWorld,2,152.05,2024-08-20,Young Adults (20-29),304.1
157,258,Customer_421,Male,36,Houston,45,Books_45,Clothing,HomeEssentials,2,319.03,2024-09-08,Adults (30-39),638.06
158,137,Customer_186,Female,35,Phoenix,58,Clothing_58,Electronics,TechWorld,4,564.78,2024-05-08,Adults (30-39),2259.12
159,371,Customer_350,Male,27,Phoenix,81,Clothing_81,Home Appliances,HomeEssentials,2,349.11,2024-10-26,Young Adults (20-29),698.22
160,264,Customer_249,Female,42,Phoenix,68,Clothing_68,Toys,HomeEssentials,2,59.23,2024-02-25,Middle-Aged (40-49),118.46
161,409,Customer_233,Male,46,Phoenix,90,Home Appliances_90,Home Appliances,TechWorld,1,139.67,2024-02-20,Middle-Aged (40-49),139.67
162,144,Customer_340,Male,24,Los Angeles,71,Electronics_71,Books,BookWorm,5,678.5,2024-03-10,Young Adults (20-29),3392.5
163,365,Customer_202,Male,69,Houston,78,Books_78,Electronics,HomeEssentials,1,106.62,2024-08-30,Elders (70+),106.62
164,472,Customer_335,Female,47,Houston,43,Clothing_43,Home Appliances,HomeEssentials,4,483.22,2024-07-27,Middle-Aged (40-49),1932.88
165,341,Customer_75,Male,42,Phoenix,49,Books_49,Clothing,BookWorm,5,727.14,2024-12-26,Middle-Aged (40-49),3635.7
166,469,Customer_331,Male,30,New York,53,Home Appliances_53,Toys,TechWorld,3,553.02,2024-06-24,Adults (30-39),1659.06
167,23,Customer_246,Female,44,Chicago,28,Electronics_28,Home Appliances,BookWorm,2,278.14,2024-03-29,Middle-Aged (40-49),556.28
168,475,Customer_473,Male,19,Chicago,44,Home Appliances_44,Clothing,BookWorm,2,107.12,2024-11-13,Young Adults (20-29),214.24
169,26,Customer_396,Male,69,Houston,20,Toys_20,Electronics,FashionHub,4,108.13,2024-08-17,Elders (70+),432.52
170,188,Customer_363,Male,50,Phoenix,55,Home Appliances_55,Electronics,TechWorld,5,547.47,2024-09-09,Pre-Seniors (50-59),2737.3500000000004
171,333,Customer_43,Male,70,Phoenix,46,Clothing_46,Toys,TechWorld,1,85.25,2024-12-11,Elders (70+),85.25
172,301,Customer_102,Female,21,New York,14,Toys_14,Toys,BookWorm,1,139.2,2024-12-15,Young Adults (20-29),139.2
173,439,Customer_401,Male,45,Phoenix,7,Books_7,Home Appliances,FashionHub,3,593.91,2024-03-28,Middle-Aged (40-49),1781.73
174,438,Customer_235,Male,22,Phoenix,80,Toys_80,Clothing,TechWorld,4,680.27,2024-03-20,Young Adults (20-29),2721.08
175,58,Customer_481,Female,25,Los Angeles,92,Books_92,Clothing,HomeEssentials,4,420.0,2024-05-22,Young Adults (20-29),1680.0
176,197,Customer_473,Male,43,Los Angeles,74,Clothing_74,Electronics,BookWorm,5,675.2,2024-03-23,Middle-Aged (40-49),3376.0
177,178,Customer_303,Female,18,Houston,50,Electronics_50,Toys,FashionHub,5,656.81,2024-01-09,Teens (<20),3284.0499999999997
178,437,Customer_62,Female,48,Phoenix,47,Toys_47,Clothing,HomeEssentials,1,37.45,2024-08-04,Middle-Aged (40-49),37.45
179,408,Customer_91,Female,41,New York,39,Toys_39,Books,FashionHub,2,351.94,2024-10-26,Middle-Aged (40-49),703.88
180,30,Customer_249,Male,63,Houston,95,Toys_95,Toys,BookWorm,4,378.91,2024-03-11,Seniors (60-69),1515.64
181,344,Customer_88,Male,51,New York,84,Books_84,Electronics,BookWorm,1,192.7,2024-12-26,Pre-Seniors (50-59),192.7
182,208,Customer_403,Male,43,New York,2,Clothing_2,Toys,FashionHub,2,177.84,2024-05-25,Middle-Aged (40-49),355.68
183,380,Customer_86,Female,50,Los Angeles,15,Books_15,Books,ToyLand,1,195.62,2024-03-26,Pre-Seniors (50-59),195.62
184,323,Customer_106,Female,24,Chicago,36,Toys_36,Clothing,HomeEssentials,4,774.34,2024-04-14,Young Adults (20-29),3097.36
185,157,Customer_150,Female,57,Chicago,66,Electronics_66,Toys,ToyLand,3,385.51,2024-04-27,Pre-Seniors (50-59),1156.53
186,173,Customer_411,Female,58,Chicago,91,Toys_91,Clothing,BookWorm,5,618.94,2024-12-05,Pre-Seniors (50-59),3094.7000000000003
187,426,Customer_265,Male,41,Houston,14,Toys_14,Toys,BookWorm,1,193.68,2024-04-22,Middle-Aged (40-49),193.68
188,143,Customer_114,Female,46,Los Angeles,73,Home Appliances_73,Books,BookWorm,5,532.81,2024-07-30,Middle-Aged (40-49),2664.0499999999997
189,262,Customer_390,Male,57,Houston,51,Clothing_51,Home Appliances,BookWorm,5,184.12,2024-02-09,Pre-Seniors (50-59),920.6
190,216,Customer_365,Female,60,Houston,69,Toys_69,Electronics,BookWorm,5,331.58,2024-09-20,Seniors (60-69),1657.8999999999999
191,76,Customer_54,Male,33,Chicago,47,Toys_47,Clothing,HomeEssentials,4,433.19,2024-03-05,Adults (30-39),1732.76
192,39,Customer_82,Male,23,Phoenix,39,Toys_39,Books,FashionHub,4,493.71,2024-10-17,Young Adults (20-29),1974.84
193,498,Customer_143,Female,52,Phoenix,62,Books_62,Toys,BookWorm,3,90.75,2024-08-11,Pre-Seniors (50-59),272.25
194,11,Customer_46,Female,37,Los Angeles,59,Toys_59,Toys,BookWorm,5,921.17,2024-10-31,Adults (30-39),4605.849999999999
195,261,Customer_244,Male,56,Houston,27,Books_27,Electronics,ToyLand,5,699.85,2024-02-04,Pre-Seniors (50-59),3499.25
196,415,Customer_47,Female,26,New York,64,Home Appliances_64,Clothing,HomeEssentials,1,103.57,2024-08-19,Young Adults (20-29),103.57
197,91,Customer_314,Female,40,Los Angeles,49,Books_49,Clothing,BookWorm,3,386.79,2024-09-13,Middle-Aged (40-49),1160.3700000000001
198,52,Customer_23,Female,20,Houston,3,Electronics_3,Books,BookWorm,3,106.94,2024-07-04,Young Adults (20-29),320.82
199,179,Customer_411,Female,68,Los Angeles,60,Books_60,Toys,ToyLand,3,509.97,2024-07-22,Seniors (60-69),1529.91
200,469,Customer_331,Male,30,New York,63,Electronics_63,Home Appliances,ToyLand,5,169.18,2024-10-02,Adults (30-39),845.9000000000001
201,380,Customer_86,Female,50,Los Angeles,67,Toys_67,Books,FashionHub,4,260.91,2024-05-13,Pre-Seniors (50-59),1043.64
202,16,Customer_234,Female,34,Chicago,38,Toys_38,Home Appliances,TechWorld,5,883.58,2024-03-02,Adults (30-39),4417.900000000001
